Aggiudicatari;Importi;Categorie
139;1050;39
426;2000;43
170;1670;8
447;516;25
448;12000;23
449;9625;43
450;2800;4
451;1908;35
248;7500;29
423;19672;7
180;1900;39
144;9600;11
452;4745;32
89;3950;29
151;10000;25
418;9000;21
453;2272;47
52;1681;21
179;1600;43
254;2804;17
378;7080;33
248;2500;3
139;1250;1
139;1250;3
407;750;42
431;58979;11
454;2868;20
246;75000;32
455;21420;7
139;1250;41
27;9690;26
456;7000;38
414;813;35
378;4256;18
442;11160;33
457;2000;7
458;6104;38
459;6200;2
405;11106;17
40;1440;21
246;18000;11
151;2459;4
408;2219;33
29;11565;8
460;5877;46
65;1464;20
151;13000;24
151;9000;13
236;35844;31
461;15700;23
165;631047;47
159;27680;14
378;27473;46
274;11270;45
139;1250;20
246;30000;1
275;32812;39
275;144094;39
462;2991;3
347;8361;23
275;6475;46
463;9450;11
17;692;5
445;10927;25
464;5037;3
251;3235;36
145;36000;27
459;3652;39
263;70443;30
148;1800;45
209;545499;42
210;26000;47
207;35000;28
212;36920;27
222;7280;40
65;120000;4
465;20800;44
159;39520;15
159;39520;35
159;26000;28
316;19700;4
52;16393;48
466;6200;28
191;19078;7
240;160000;43
226;15000;38
237;58437;22
180;180000;2
226;2700;47
228;16173;27
242;68948;46
193;12597;32
193;224256;35
226;140160;22
212;78420;16
467;45302;14
218;19115;5
190;50000;26
190;46774;31
190;39999;46
212;259030;40
468;8000;8
221;2000;47
469;11593;22
240;6000;47
197;10000;23
470;26094;6
193;1963;20
153;58437;8
196;883228;5
195;12898;42
471;82415;36
193;7599;22
226;25464;19
472;789109;26
473;3261014;41
194;66607;21
361;112677;19
474;35000;45
475;40000;37
153;162164;12
476;29890;17
477;900;3
478;1557;19
479;70000;26
213;16020;11
190;98000;2
198;2000;3
357;213000;46
236;2880;15
480;27000;13
354;119520;44
201;21250;33
65;21360;24
481;280000;20
52;69638;15
226;12550;29
218;98350;11
482;75000;45
227;520;47
10;21900;30
192;24793;34
215;31500;31
483;55000;36
29;38000;8
239;144541;43
348;31206;3
216;37440;19
205;30500;14
190;26000;19
448;22880;17
70;16350;35
484;73050;24
214;29400;15
485;14666;20
213;4747;6
159;192698;47
134;205000;17
200;18916;12
219;27412;3
237;77250;35
202;141000;22
486;140000;37
226;909000;21
252;168347;7
145;40000;12
267;3651;45
268;170472;13
119;177184;5
21;74321;2
487;57589;28
61;1809;48
247;678312;8
79;39734;48
257;181072;13
164;5000;3
488;59342;6
489;59342;6
417;10862;48
47;5750;4
143;2704;28
490;1998;34
145;3399;33
29;1768;33
147;11565;11
139;3920;6
279;1250;27
17;3140;36
65;7970;40
139;84000;41
285;1281;4
288;3960;44
289;2645;36
291;2300;14
37;26400;21
151;14990;18
133;9500;39
132;18500;29
315;16500;20
139;9500;28
296;2500;11
297;3200;40
491;1200;35
27;15000;7
417;15600;27
27;444000;1
301;3000;18
245;2469753;32
304;38934;41
305;13241;34
67;16452;11
417;342727;45
88;1175731;48
164;6386;38
315;358951;48
157;10000;32
492;16378;24
309;831;45
145;3166;25
264;45450;40
382;3000;17
43;54455;30
493;9917;44
494;71733;29
495;1668;30
481;28980;46
496;29383;31
497;19200;40
242;10320;21
321;1526;44
26;18000;2
387;1850;38
498;74385;32
499;20196;20
500;64643;36
501;13050;11
502;39999;44
324;180500;13
198;5000;37
259;36190;3
36;7000;10
248;6452513;47
169;29760;6
329;3243;9
503;930504;45
332;107172;3
411;3732;31
337;30000;19
504;80;17
188;1600;35
377;37122;9
75;48449;3
505;9800;7
66;7089;31
25;31720;21
30;6800;41
346;2049;45
140;49281;46
132;8000;4
347;156227;45
96;8000;13
16;86109;4
348;9383;45
506;299239;14
218;8544;40
507;19000;13
508;9960;39
509;69960;19
98;180756;36
100;159000;21
47;5200;6
246;8500;13
105;24793;3
106;85000;22
113;433289;24
116;7200;9
117;9943;33
119;47500;33
120;5083;5
125;9100;7
47;9000;27
61;2890;41
35;55450;19
